order_id,shift,lines,distance_m,picking_min,error
P001,matutino,5,82,8.4,0
P002,matutino,7,105,9.1,0
P003,matutino,9,136,10.5,0
P004,matutino,4,69,7.8,0
P005,matutino,12,184,12.7,0
P006,matutino,8,121,9.9,0
P007,matutino,15,218,14.3,1
P008,matutino,6,94,8.8,0
P009,matutino,10,153,11.2,0
P010,matutino,11,171,12.0,0
P011,matutino,3,58,7.2,0
P012,matutino,13,196,13.4,0
P013,vespertino,6,91,9.5,0
P014,vespertino,9,142,11.4,0
P015,vespertino,5,79,8.9,0
P016,vespertino,14,211,15.2,0
P017,vespertino,8,126,10.8,0
P018,vespertino,11,169,12.9,0
P019,vespertino,7,108,10.1,0
P020,vespertino,16,235,16.3,1
P021,vespertino,4,66,8.2,0
P022,vespertino,12,187,13.7,0
P023,vespertino,10,158,12.1,0
P024,vespertino,6,96,9.7,0
P025,nocturno,5,84,9.8,0
P026,nocturno,8,129,11.6,0
P027,nocturno,13,201,15.1,0
P028,nocturno,7,111,10.9,0
P029,nocturno,11,176,13.8,0
P030,nocturno,4,71,8.7,0
P031,nocturno,15,226,17.4,1
P032,nocturno,9,145,12.4,0
P033,nocturno,6,99,10.2,0
P034,nocturno,18,261,21.6,1
P035,nocturno,10,162,13.0,0
P036,nocturno,12,190,14.5,0
